Business Name,Phone Number,Address,Website,Emails,Search Phrase Used,Profile Category
"Vividus Hotels , Bangalore",096060 64644,"#3, Kumarakrupa Rd, Madhava Nagar, Gandhi Nagar, Bengaluru, Karnataka 560001, India",https://vividushotelsbangalore.bookmystay.io/?utm_source=gmb&utm_campaign=website_buttton,,Boutique Hotels in Bangalore,Customer
"ICON Boutique Hotel, Domlur, Indiranagar",080 4679 5000,"210, 1st Main Rd, near Domlur, 2nd stage Indiranagar, Stage 2, Domlur, Bengaluru, Karnataka 560071, India",https://www.iconhotelsindia.com/icon-boutique-hotel-domlur/,"corprevenue@iconhotelsindia.in, resv.boutique@iconhotelsindia.com",Boutique Hotels in Bangalore,Customer
Bloomrooms @ Indiranagar,080 4164 6594,"1136, 100 Feet Rd, opp. Blackberrys, HAL 2nd Stage, Indiranagar, Bengaluru, Karnataka 560038, India",https://staybloom.com/hotels/bengaluru/bloomrooms-indiranagar,,Boutique Hotels in Bangalore,Customer
La Serene Boutique Hotel - Manyata Tech Park,096067 70919,"R Building, No.225, 7th cross, Rachenahalli Main Rd, P and T Colony, Rachenahalli, Thanisandra, Bengaluru, Karnataka 560045, India",https://laserenehotels.com/,,Boutique Hotels in Bangalore,Customer
Svenska Design Hotels,080 2991 0000,"56D, 5, opposite Wipro Avenue, Electronic City Phase I, Electronic City, Bengaluru, Karnataka 560100, India",http://www.svenskahotels.com/,luxury@svenskahotels.com,Boutique Hotels in Bangalore,Customer
Sterling's Mac Hotel Bengaluru,080 3149 4949,"134, old, HAL Old Airport Rd, opposite to Leela Palace Road, Kodihalli, Bengaluru, Karnataka 560017, India",http://www.sterlingsmachotel.com/,"info@sterlingsmachotel.com, reservations.hotels@sterlingsmac.biz",Boutique Hotels in Bangalore,Customer
Trinity Suites,080 4164 6100,"1/3, Artillery Rd, Halasuru, Cambridge Layout, Bengaluru, Karnataka 560008, India",http://www.trinitysuites.in/,checkin@trinitysuites.in,Boutique Hotels in Bangalore,Customer
AMMA GARMENTS (Manufacture Of Shirt),090364 20666,"#203, 1st Floor, 4th Cross, Lal Bagh Main Rd, K.S. Garden, Raja Ram Mohanroy Extension, Sudhama Nagar, Bengaluru, Karnataka 560027, India",https://elreydorado.in/,,Garment Manufacturers in Bangalore,Customer
AB Clothing Co,063612 44993,"Unit-1, 29, 5th Cross Rd, V B Layout, Chikkabasavanapura, Krishnarajapuram, Bengaluru, Karnataka 560036, India",http://www.abclothing.co/,"mail@1234567.com, abclothingss@gmail.com",Garment Manufacturers in Bangalore,Customer
Mischief Clothing Company,080887 21421,"2nd Floor, SHANKHESHWAR TOWERS, No. 34, 3rd Cross Rd, Lal Bagh Road, K.S. Garden, Raja Ram Mohanroy Extension, Sudhama Nagar, Bengaluru, Karnataka 560027, India",https://www.facebook.com/youthopiajeans/,,Garment Manufacturers in Bangalore,Customer
Pan valley,094825 09673,"188,4th cross, Lal Bagh Main Rd, K.S. Garden, Raja Ram Mohanroy Extension, Sudhama Nagar, Bengaluru, Karnataka 560027, India",http://www.panvalley.in/,"mukeshclothingco@gmail.com, u003Emukeshclothinco@gmail.com, info@mukeshclothingco.com, mukeshclothinco@gmail.com",Garment Manufacturers in Bangalore,Customer
TTH The Tenth House,088846 61010,"13/14,Ground Floor,2nd main road, Lal Bagh Main Rd, Sudhama Nagar, Bengaluru, Karnataka 560027, India",http://www.thetenthhouse.in/,"Gift-world-Expo-2024@giftsworldexpo-Stall-no-G24.mp, care@thetenthhouse.in",Garment Manufacturers in Bangalore,Customer
Pradhan Mercantile Pvt Ltd,080 2263 8000,"402, HTC Aspire, 19, Ali Asker Rd, Vasanth Nagar, Bengaluru, Karnataka 560001, India",https://www.pmplgroup.com/,,Garment Manufacturers in Bangalore,Customer
Samurai Exports Private Limited,073378 33112,"No.79 SSI Area, 1st Main Rd, behind Ram Kumar Mill, 5th Block, Rajajinagar, Bengaluru, Karnataka 560010, India",,,Garment Manufacturers in Bangalore,Customer
Motherland Garments Pvt Ltd,093422 50766,"75, Magadi Main Rd, Opp Metro Station, Binnipete, Bengaluru, Karnataka 560023, India",http://www.motherlandgroup.com/,,Garment Manufacturers in Bangalore,Customer
Snf garments inc,098866 31006,"60/1 17th cross 1st main, Mysore Rd, 1st Stage, Bapuji Nagar, Bengaluru, Karnataka 560026, India",,,Garment Manufacturers in Bangalore,Customer
Double Two India Pvt Ltd,099729 11857,"No 45 , Annamali Arcade, 2nd Floor 1st Cross, Hosur Main Road, Wilson Garden, Bengaluru, Karnataka 560027, India",https://www.doubletwo.in/,,Garment Manufacturers in Bangalore,Customer
PADMAVATI GARMENT (Wholesalers),099647 66355,"120/1, Cubbonpet Main Rd, Cubbonpete, Nagarathpete, Bengaluru, Karnataka 560002, India",,,Garment Manufacturers in Bangalore,Customer
Aspire Clothing Inc. [ Brand : AWESPIRE ],086609 37704,"28, DS Ln, Mamulpet, Chickpet, Bengaluru, Karnataka 560053, India",http://www.awespire.in/,,Garment Manufacturers in Bangalore,Customer
RISITEX - La Mongie Jeans,086603 81681,"52/1, 4th Cross Rd, Lal Bagh Road, K.S. Garden, Raja Ram Mohanroy Extension, Sudhama Nagar, Bengaluru, Karnataka 560027, India",https://lamongie.in/,,Garment Manufacturers in Bangalore,Customer
Multi Clothings - Garment Manufacturers for Brands,098808 96821,"1st Floor, Nakoda Towers, No 24, 1st B Main Rd, near Textile Co-operative Bank Ltd, Sudhama Nagar, Bengaluru, Karnataka 560027, India",,,Garment Manufacturers in Bangalore,Customer
FCK Casuals By Vardhman clothing company,090193 59594,"Zia Arcade , 1st floor , 4th cross road, Siddaiah Rd, Sudhama Nagar, Bengaluru, Karnataka 560027, India",,,Garment Manufacturers in Bangalore,Customer
Way2Fashion,080 4958 5544,"#19/1, 3rd Floor, 7th Cross, Siddaiah Rd, Sudhama Nagar, Bengaluru, Karnataka 560027, India",,,Garment Manufacturers in Bangalore,Customer
HE MAN GARMENTS,080 4992 7080,"Linganna Niwas, 9 2ND CROSS, Siddaiah Rd, Sudhama Nagar, Bengaluru, Karnataka 560027, India",http://seeglobal.in/index.php/en/ads/58ce841c7b0e7/Jeans+Garments++Exporters/He-Man+Garments+%28KEY+Jeans+%26+Casuals%29,,Garment Manufacturers in Bangalore,Customer
Salonee Silks n Cotton,099809 47455,"8, Commercial Street, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka 560001, India",https://www.salonee.in/,support@salonee.in,Textile Shops in Bangalore,Customer
TEMPLE FABRIC,080 4160 1500,"1ST FLOOR 4T, BLOCK 34, 27th Cross Rd, 4th T Block East, 4th Block, Jayanagar, Bengaluru, Karnataka 560011, India",,,Textile Shops in Bangalore,Customer
"V.S TEXTILES WHOLESALE KURTIS , WHOLESALE READYMADE DRESS",099642 55872,"shop #37, Rajatha complex, DK Ln, Huriopet, Chickpet, Bengaluru, Karnataka 560053, India",http://www.vstextiles.in/,,Textile Shops in Bangalore,Customer
Silverlining - Best Fabric and customized dresses in commercial street Bangalore,080500 58205,"no 31, 1st floor, Ibrahim Sahib Street, to, Commercial Street, opposite Ashok Jewels), Parallel, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka 560001, India",,,Textile Shops in Bangalore,Customer
Ronak International,080 2234 3646,"24, Kilari Rd, Anchepet, Chickpet, Bengaluru, Karnataka 560053, India",http://www.ronakinternational.in/contactus.html,info@ronakinternational.in,Textile Shops in Bangalore,Customer
PRADEEP FASHION,094492 49460,"4/1, VS Ln, opp. KUBERAN SILK, Huriopet, Chickpet, Bengaluru, Karnataka 560053, India",,,Textile Shops in Bangalore,Customer
Meera Fabrics | Best Raymond store,098452 15492,"11/4, E.S Ln, Chickpet Rd, Chickpet, Bengaluru, Karnataka 560053, India",https://www.instagram.com/meerafabricsindia/,,Textile Shops in Bangalore,Customer
Selection Textiles,086604 51300,"Rangaiah Complex, 16-17 D, BVK Iyengar Rd, Huriopet, Chickpet, Bengaluru, Karnataka 560053, India",https://www.selectiontextiles.com/,,Textile Shops in Bangalore,Customer
Shreeji Textiles,098443 12507,"675, Chickpet Rd, Huriopet, Chickpet, Bengaluru, Karnataka 560053, India",,,Textile Shops in Bangalore,Customer
Om Shanti Textile,099166 02256,"No.9, Sudarshan mansion ,5th floor honnurappa lane, Siddanna Ln, Cubbonpete, Nagarathpete, Bengaluru, Karnataka 560002, India",,,Textile Shops in Bangalore,Customer
Sri Textiles,080 2238 0709,"No-319, Santhusapet, Chickpet, Bengaluru, Karnataka 560053, India",,,Textile Shops in Bangalore,Customer
FAB STUDIO,080 4972 8289,"Jumma Masjid Road, 103/2, Diwan Khan Ln, Ballapurpet, Nagarathpete, Bengaluru, Karnataka 560002, India",https://instagram.com/fabstudio_blr?igshid=YmMyMTA2M2Y=,,Textile Shops in Bangalore,Customer
Manoranjan - The Fabric Store | Commercial Street,080 2558 0773,"40 Ground floor shop No 1 Ebrahim Saheb Street, to, Commercial Street, Parallel, Shivaji Nagar, Bengaluru, Karnataka 560001, India",https://www.instagram.com/online.manoranjan?igsh=MW14N2tkbnp4MWZ3eg==&utm_source=qr,,Textile Shops in Bangalore,Customer
Tip Top Fashion & Fabrics,099161 14099,"XHR7+CG8 Guru Rajendra Corner, 36, 1st Cross Rd, near Bandireddy Circle, Ramachandrapuram, Dayananda Nagar, Srirampura, Bengaluru, Karnataka 560021, India",http://www.tessabrico.com/,,Textile Shops in Bangalore,Customer
VASSANT TEXTILE MILLS,080 4112 3023,"20 /3 D K LANE, SDJD BUILDING, Chickpete near NEXT TO DIGAMBAR JAIN TEMPLE &, opp. to Namboor Market, Huriopet, Chickpet, Bengaluru, Karnataka 560053, India",,,Textile Shops in Bangalore,Customer
Designer Fabrics,086600 77973,"No 58, Sara plaza, laxman mudaliar street, 2nd cross, Annex commercial street, shavajinagar, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka 560001, India",,,Textile Shops in Bangalore,Customer
Anugraha Textiles,090194 96110,"Samrarth Complex, Traffic Police Station, 29/3, Hosur Rd, near Bank Of Baroda, Audugodi Police Quarters, Adugodi, Bengaluru, Karnataka 560030, India",,,Textile Shops in Bangalore,Customer
Mascot Fabrics,098440 90111,"9 & 10 ,first floor, Maramma temple street, Cross, DK Ln, opp. shree Ganesh sweets, Huriopet, Chickpet, Bengaluru, Karnataka 560053, India",,,Textile Shops in Bangalore,Customer
Rachna Fabrics,095914 93321,"53, Choudhary Circle, Choudhary Tower, 53, DK Ln, Huriopet, Chickpet, Bengaluru, Karnataka 560053, India",,,Textile Shops in Bangalore,Customer
Moksh Creation,098441 73709,"Shop no 13, 1, Chickpet Rd, Ragipet, Huriopet, Chickpet, Bengaluru, Karnataka 560053, India",,,Textile Shops in Bangalore,Customer
BANGALORE CITY HARDWARE,080 4100 0054,"No93 Kumbaragundi Road J c Road Cross Near SJ PARK POLICE STATION, JC ROAD, Kumbaragundi, Kalasipalya, Bengaluru, Karnataka 560002, India",https://nfc.dgtechsoln.com/bangalore-city-hardware/,bcihardwares@gmail.com,Hardware Stores in Bangalore,Customer
Metro Hardware (since 1963),094484 50180,"22, Godown St, Ragipet, KR Market, Dodpete, Nagarathpete, Bengaluru, Karnataka 560002, India",https://metrohardwares.com/,metrohardware1963@gmail.com,Hardware Stores in Bangalore,Customer
AL Unique traders- Best wholesale unique power tools and hardware shop in Bangalore,081477 93144,"no 1, Al commercial, NR Road, City Market, KR Market, Kalasipalyam New Extension, Kalasipalya, Bengaluru, Karnataka 560002, India",https://www.instagram.com/aluniquetraders/profilecard/?igsh=MThpbXJpOGlsbnRoZQ==%20https://youtube.com/@aluniquetraders?si=1zNJYE0m4kJEkBjx,,Hardware Stores in Bangalore,Customer
Mahaveer Hardware,070228 96133,"1st & 2nd Floor, 1/c, West of Chord Road Circle, 2nd Stage, Rajajinagar, Bengaluru, Karnataka 560010, India",http://www.mahaveerhardware.com/,info@mahaveerhardware.com,Hardware Stores in Bangalore,Customer
Krishna Hardware and Innovations,080 4210 9775,"139, Dispensary Rd, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka 560001, India",http://www.krishnainnovations.ezyro.com/,,Hardware Stores in Bangalore,Customer
